region_clean,n_wines,lat_mean,lon_mean
pommard premier cru,20,46.95422527651918,4.792666776908167
premieres cotes de bordeaux,2,44.68271522872525,-0.535035966266340197
provence,12,43.9359,6.0676
puisseguin saint emilion,26,44.55280000000001,0.04190000000000002
puligny montrachet premier cru,2,44.860885,4.70357
rasteau,20,44.19123000000001,4.845669999999999
regnie,20,46.267889999999994,4.731229999999998
reuilly,2,44.12284,1.9149
rhone,2,45.0,4.75
richebourg,15,47.1442,4.9602
romanee saint vivant,10,47.145822799999999,4.9575
rully,23,46.842,4.743399999999998
rully champs cloux,5,46.8452,4.7398
rully cloux,1,46.8691,4.7695
rully marissou,3,46.8653,4.7723
rully preaux,2,46.87097,4.74876
rully premier cru,2,46.8699,4.7478
saint amour,17,46.25432,4.636539999999998
saint aubin,1,46.9351,4.7439
saint aubin derriere chez edouard,3,46.93449999999999,4.7446
saint aubin le puits,1,46.9355,4.745
saint chinian,56,43.43333,2.949999999999999
saint drezery,3,43.56432,3.83456
saint emilion,66,44.90000000000005,-0.1500000000000002
saint georges saint emilion,11,44.55219999999999,-0.13450000000000004
saint guilhem le desert,17,43.73333000000002,3.549999999999999
saint joseph,135,45.09011999999991,4.8076500000000015
saint julien,171,45.15179999999986,-0.747
saint nicolas de bourgueil,31,47.29929189869924,0.10155925574189303
saint romain,11,46.9724,4.730800000000001
sainte foy bordeaux,8,44.83333,0.0
sancerre,48,47.31909999999999,2.8297599999999967
santenay,48,46.91470624472586,4.696211376851372
santenay beauregard,8,46.91588000000001,4.69892
santenay clos de tavannes,4,46.9125,4.6985
santenay clos des mouches,3,46.9109,4.6934
santenay clos faubard,2,46.914,4.699
santenay clos rousseau,6,46.9099,4.6911
santenay grand clos rousseau,2,46.911,4.6925
santenay la comme,4,46.9178,4.7
santenay la maladiere,6,46.9146,4.6992
santenay les gravieres,15,46.9121,4.701149999999999
santenay premier cru,7,46.91534630302643,4.702978923364671
saumur,24,47.26666999999998,-0.06667
saumur champigny,139,47.24640293718296,-0.07620646471989473
savigny les beaune,53,47.05789999999997,4.815400000000005
savigny les beaune aux clous,4,47.0583,4.8201
savigny les beaune aux fourneaux,4,47.05395,4.82703
savigny les beaune aux gravains,1,47.0588,4.8278
savigny les beaune aux guettes,9,47.05721,4.828119999999999
savigny les beaune aux serpentieres,3,47.05859999999999,4.8293
savigny les beaune la dominode,13,47.0593,4.822699999999999
savigny les beaune les haut jarrons,1,47.06043,4.82585
savigny les beaune les jarrons,1,47.0629,4.8208
savigny les beaune les lavieres,8,47.059,4.82496
savigny les beaune les narbantons,3,47.0585,4.8265
savigny les beaune les peuillets,12,47.0541,4.8313
savigny les beaune les talmettes,2,47.05321,4.82691
savigny les beaune les vergelesses,7,47.05344000000001,4.82876
savigny les beaune premier cru,7,47.05630000000001,4.8243
sommieres,7,43.90623,4.10231
southern rhone,12,44.300000000000004,4.799999999999999
southwest,1,44.0,1.0
st emilion grand cru,392,44.9240,–0.1555
touraine,24,47.29999999999998,0.6999999999999997
touraine amboise,7,47.41234000000001,0.9678899999999999
upper loire,2,47.5,2.0
vacqueyras,37,44.12728381735132,4.806080074188466
valencay,1,47.15,1.56667
vallee du paradis,1,42.38761,2.89973
vin de pays doc,161,43.61193999999985,3.8772200000000017
vin de pays vignobles de france,1,46.60335,1.88833
vin de savoie,17,45.65,6.10
vinsobres,13,44.3163,5.0984
volnay,36,46.94370000000002,4.764999999999997
volnay carelle sous la chapelle,1,46.9445,4.764
volnay champans,7,46.94312000000001,4.765990000000001
volnay clos de l audignac,3,46.943000000000005,4.7649
volnay clos de la barre,2,46.9436,4.7648
volnay clos de la bousse d or,1,46.9436,4.766
volnay clos de la cave des ducs,1,46.9441,4.766
volnay clos des 60 ouvrees,1,46.9440,4.764596
volnay clos des chenes,4,46.9428,4.766
volnay en chevret,7,46.94400000000001,4.7648
volnay fremiets,15,46.9438,4.7643
volnay la gigotte,1,46.9423,4.7629
volnay le ronceret,2,46.9428,4.7661
volnay le village,1,46.9431,4.7644
volnay les angles,2,46.9435,4.7653
volnay les brouillards,2,46.9453,4.765
volnay les caillerets,12,46.944759999999995,4.76509
volnay les lurets,2,46.9444,4.7664
volnay les mitans,4,46.9441,4.7641
volnay pitures dessus,4,46.9439,4.765
volnay premier cru,40,46.94419999999997,4.765800000000004
volnay robardelle,2,46.9425,4.7653
volnay santenots,17,46.94087000000001,4.77358
volnay taille pieds,6,46.94623000000001,4.76551
vosne romanee,48,47.09369999999995,4.571599999999997
vosne romanee 1er cru au cros parantoux,2,47.0937,4.5716
vosne romanee aux brulees,4,47.0937,4.5716
vosne romanee aux malconsorts,2,47.0937,4.5716
vosne romanee aux raignots,1,47.0937,4.5716
vosne romanee clos des reas,1,47.0937,4.5716
vosne romanee la croix rameau,1,47.0937,4.5716
vosne romanee les beaux monts,10,47.093700000000005,4.571600000000001
vosne romanee les chaumes,10,47.093700000000005,4.571600000000001
vosne romanee les gaudichots,3,47.09369999999999,4.5716
vosne romanee les petits monts,1,47.0937,4.5716
vosne romanee les suchots,10,47.093700000000005,4.571600000000001
vosne romanee premier cru,28,47.09369999999998,4.571600000000003
vougeot clos de la perriere,4,47.071113,4.710337
vougeot les cras,6,46.919473,4.755843
vougeot les petits vougeots,5,47.1671,4.9593
